iter	Passed	Remaining
0	2	2342
1	4	2194
2	6	1994
3	7	1865
4	8	1784
5	10	1762
6	12	1706
7	13	1692
8	15	1663
9	16	1623
10	18	1704
11	20	1686
12	21	1658
13	23	1642
14	24	1631
15	26	1620
16	28	1622
17	29	1610
18	31	1601
19	33	1662
20	35	1673
21	37	1666
22	39	1661
23	40	1661
24	42	1660
25	44	1649
26	45	1653
27	47	1665
28	50	1681
29	51	1678
30	53	1680
31	55	1681
32	57	1675
33	58	1670
34	61	1682
35	63	1689
36	64	1686
37	66	1692
38	68	1687
39	70	1684
40	71	1679
41	74	1698
42	76	1703
43	78	1713
44	80	1713
45	82	1707
46	83	1699
47	85	1699
48	87	1694
49	89	1706
50	91	1710
51	93	1704
52	95	1697
53	96	1693
54	98	1688
55	99	1682
56	101	1674
57	103	1687
58	105	1688
59	107	1684
60	109	1681
61	110	1676
62	112	1673
63	113	1667
64	116	1668
65	119	1685
66	121	1688
67	123	1698
68	125	1696
69	127	1690
70	128	1686
71	132	1704
72	134	1709
73	136	1706
74	137	1701
75	139	1696
76	141	1690
77	142	1685
78	145	1691
79	147	1691
80	148	1687
81	150	1681
82	151	1669
83	152	1665
84	154	1660
85	155	1654
86	157	1649
87	160	1659
88	162	1663
89	164	1661
90	166	1658
91	168	1658
92	169	1654
93	172	1662
94	176	1679
95	178	1676
96	179	1671
97	181	1666
98	182	1661
99	184	1657
100	186	1662
101	189	1664
102	190	1661
103	192	1658
104	193	1653
105	196	1653
106	197	1648
107	199	1648
108	202	1656
109	204	1654
110	206	1652
111	207	1648
112	209	1644
113	211	1641
114	212	1636
115	216	1652
116	218	1648
117	220	1647
118	222	1645
119	223	1640
120	225	1636
121	226	1630
122	229	1633
123	231	1635
124	233	1636
125	235	1634
126	237	1629
127	238	1625
128	240	1623
129	242	1625
130	245	1630
131	247	1629
132	249	1626
133	251	1623
134	253	1621
135	255	1623
136	258	1626
137	260	1626
138	262	1623
139	264	1623
140	265	1619
141	266	1612
142	268	1608
143	270	1609
144	273	1611
145	274	1608
146	276	1604
147	278	1600
148	279	1596
149	280	1592
150	282	1588
151	284	1589
152	286	1588
153	288	1586
154	290	1582
155	291	1578
156	293	1576
157	295	1573
158	296	1570
159	300	1576
160	301	1571
161	303	1570
162	305	1567
163	306	1563
164	308	1560
165	309	1556
166	311	1553
167	313	1554
168	315	1551
169	317	1548
170	318	1544
171	320	1540
172	321	1536
173	323	1533
174	324	1529
175	327	1532
176	329	1531
177	331	1529
178	332	1527
179	334	1524
180	336	1521
181	338	1519
182	341	1524
183	343	1524
184	345	1522
185	347	1520
186	349	1520
187	351	1517
188	355	1526
189	358	1529
190	360	1526
191	363	1527
192	365	1527
193	368	1529
194	371	1532
195	373	1532
196	375	1529
197	377	1528
198	379	1526
199	381	1524
200	385	1532
201	388	1535
202	391	1536
203	393	1537
204	396	1538
205	399	1539
206	401	1537
207	403	1535
208	405	1534
209	407	1532
210	411	1538
211	413	1537
212	415	1536
213	418	1536
214	420	1536
215	426	1546
216	429	1548
217	433	1554
218	435	1551
219	440	1562
220	443	1562
221	445	1561
222	447	1559
223	449	1558
224	454	1564
225	456	1562
226	458	1559
227	459	1557
228	461	1555
229	463	1553
230	471	1568
231	473	1566
232	475	1564
233	477	1562
234	479	1560
235	485	1572
236	487	1569
237	489	1566
238	491	1564
239	493	1563
240	500	1576
241	502	1574
242	504	1571
243	506	1570
244	508	1568
245	512	1570
246	515	1571
247	517	1568
248	518	1564
249	520	1561
250	522	1558
251	540	1604
252	543	1604
253	545	1602
254	547	1599
255	548	1595
256	556	1607
257	559	1608
258	561	1605
259	562	1602
260	564	1598
261	566	1596
262	568	1592
263	572	1595
264	573	1591
265	575	1588
266	577	1586
267	579	1583
268	586	1594
269	588	1591
270	590	1589
271	592	1585
272	594	1583
273	600	1590
274	602	1587
275	603	1583
276	605	1580
277	607	1577
278	610	1578
279	615	1581
280	617	1579
281	619	1576
282	620	1573
283	622	1569
284	626	1572
285	629	1571
286	631	1569
287	633	1565
288	634	1562
289	636	1558
290	639	1558
291	643	1559
292	645	1557
293	647	1554
294	648	1550
295	650	1547
296	652	1543
297	655	1543
298	657	1541
299	660	1540
300	661	1537
301	663	1534
302	665	1531
303	671	1536
304	673	1534
305	675	1531
306	676	1527
307	678	1524
308	680	1522
309	684	1522
310	686	1520
311	688	1517
312	690	1516
313	692	1513
314	701	1526
315	704	1524
316	706	1521
317	708	1518
318	709	1515
319	712	1513
320	715	1512
321	717	1510
322	719	1507
323	720	1504
324	722	1501
325	725	1499
326	727	1497
327	730	1495
328	732	1492
329	733	1489
330	735	1486
331	737	1484
332	739	1481
333	742	1480
334	744	1478
335	746	1475
336	748	1472
337	750	1469
338	752	1467
339	756	1467
340	758	1465
341	759	1461
342	761	1458
343	763	1455
344	764	1452
345	766	1448
346	771	1451
347	773	1448
348	775	1445
349	776	1442
350	778	1439
351	780	1436
352	787	1442
353	788	1439
354	791	1437
355	792	1434
356	794	1430
357	797	1430
358	802	1432
359	804	1430
360	806	1428
361	808	1425
362	810	1422
363	814	1423
364	816	1420
365	818	1417
366	820	1415
367	822	1412
368	824	1409
369	832	1416
370	835	1416
371	837	1414
372	840	1412
373	843	1411
374	845	1408
375	847	1406
376	849	1404
377	851	1401
378	854	1400
379	858	1399
380	859	1397
381	863	1397
382	873	1407
383	879	1411
384	884	1413
385	887	1411
386	889	1409
387	893	1408
388	895	1406
389	902	1412
390	904	1409
391	907	1407
392	912	1408
393	915	1407
394	919	1408
395	921	1406
396	925	1406
397	929	1406
398	932	1403
399	934	1401
400	936	1399
401	939	1397
402	941	1395
403	946	1396
404	948	1394
405	951	1391
406	955	1392
407	958	1391
408	961	1389
409	964	1387
410	970	1390
411	973	1389
412	976	1387
413	978	1384
414	979	1380
415	982	1379
416	985	1377
417	987	1374
418	989	1372
419	992	1369
420	993	1367
421	996	1364
422	998	1362
423	1000	1359
424	1002	1356
425	1003	1352
426	1005	1349
